270	['acm_gost', 'city', 'geo_oblast', 'price']	0.018%	гостиницы в зеленоградске калининградской области цены	4
271	['acm_hostel', 'city', 'geo_rayon', 'poi_metro_station']	0.018%	хостел красногвардейский район спб	1
272	['acm_gost', 'poi_station', 'space_near']	0.018%	гостиница возле киевского вокзала	2
273	['acm_hotel', 'city', 'map', 'poi_sea']	0.018%	хургада карта побережья с отелями	11
274	['acm_hotel', 'city', 'date_year', 'price']	0.018%	отели в кисловодске цены 2015	2
275	['acm_gost', 'contacts_site', 'geo_oblast']	0.018%	гостиницы красноярска официальный сайт	4
276	['acm_gost', 'acm_gost_popular', 'city', 'contacts_site', 'price']	0.018%	гостиница октябрьская санкт-петербург официальный сайт стоимость	11
277	['acm_gost', 'acm_hotel', 'city', 'map']	0.017%	карта джемете с отелями и гостиницами	2
278	['acm_gost', 'city', 'city_city', 'map']	0.017%	гостиницы города псков на карте	2
279	['acm_gost', 'city', 'city_city', 'poi_metro_station']	0.017%	гостиница в аэропорту города минска	2
280	['acm_hotel', 'city', 'geo_oblast', 'price']	0.017%	отели зеленоградска калининградской области цены	9
281	['city', 'country', 'date_year', 'price', 'tour']	0.017%	санторини греция стоимость путевки 2015	8
282	['acm_gost', 'city', 'poi_metro', 'price_cheap']	0.017%	гостинницы в москве недорогие у метро	5
283	['acm_hotel', 'city', 'poi_metro', 'poi_metro_station_spb', 'space_near']	0.017%	отели рядом с метро пролетарская москва	1
284	['acm_gost', 'city', 'geo_admin_okrug']	0.017%	гостиницы свао москвы	2
285	['acm_obj', 'city', 'contacts_site', 'date_year', 'price']	0.017%	пансионат репино официальный сайт цены на 2015 год	5
286	['acm_hotel_en', 'acm_hotel_popular_en']	0.017%	Himeros Beach Hotel	9
287	['action_buy', 'amn_all_inclusive', 'city', 'country', 'tour']	0.017%	купить путёвку в египет всё включено хургада	10
288	['acm_hotel', 'country']	0.017%	отели финляндии	1
289	['acm_hotel', 'acm_hotel_popular', 'city', 'reviews']	0.016%	отель бристоль санкт-петербург отзывы	3
290	['acm_gost', 'acm_obj_part', 'amn_jacuzzi', 'city']	0.016%	гостиница с джакузи в номере москва	2
291	['acm_gost', 'acm_obj_part', 'action2book', 'city']	0.016%	снять номер в гостиницы балаклавы	3
292	['acm_hotel', 'amn_all_inclusive', 'peninsula', 'stars_5']	0.016%	отели 5 звезд в крыму все включено	7
293	['acm_hotel', 'action2book', 'country']	0.016%	забронировать отель на кубе	2
294	['acm_gost', 'peninsula']	0.016%	гостиницы крыма	9
295	['acm_hostel', 'city', 'date_year', 'price']	0.016%	львов хостелы цены 2015	4
296	['acm_hotel', 'amn_jacuzzi', 'city']	0.016%	отель с джакузи спб	3
297	['acm_gost', 'action2book', 'city', 'poi_metro', 'price_cheap', 'space_near']	0.016%	снять гостиницу в москве недорого рядом с метро	12
298	['acm_gost_popular', 'city', 'contacts_site', 'date_year', 'price']	0.016%	интурист ялта официальный сайт цены на 2015 год	10
299	['acm_obj', 'geo_oblast']	0.016%	орловский гостиничный комплекс	13
300	['country', 'price', 'tour']	0.016%	египет путёвка цены	2
301	['acm_ghouse', 'city', 'contacts_site', 'poi_metro_station_spb']	0.016%	гостевой дом на рыбацкой рязань официальный сайт	10
302	['acm_minihotel']	0.016%	мини отель	7
